,SNP_00500,SNP_00131,SNP_00653,SNP_00756,SNP_00048,SNP_00232,SNP_00198,SNP_00539,SNP_00731,SNP_00229,SNP_00729,SNP_00632,SNP_00554,SNP_00069,SNP_00246,SNP_00385,SNP_00636,SNP_00723,SNP_00730,SNP_00106
SNP_00500,1.0,0.07051027232241873,-0.09267505241022209,-0.04725690039782924,-0.09129577530394285,-0.14761691567569368,0.0692787722019461,-0.15037618750412995,-0.08035140450606625,0.023762422826087853,0.18671046695629429,0.11881211413043939,0.03508628193331032,0.06895308641960528,-0.03470007803583586,-0.0024909787532361974,-0.10314954703803265,0.009917825156968157,-0.005185385776004483,-0.22197094170305254
SNP_00131,0.07051027232241873,1.0,-0.10748615458500274,-0.05229807167441253,0.006593661395050811,-0.054432686844796706,0.06919091293405409,0.008519977207387454,-0.003321342787420582,-0.052057920629535334,0.06624539755527525,0.05205792062953537,0.04474280947009712,-0.06513601243999374,-0.09476437031548401,-0.3110577143151258,0.09476437031548397,0.11375058283007257,-0.022719939219699874,-0.12615415004432537
SNP_00653,-0.09267505241022209,-0.10748615458500274,1.0,0.0893674939234368,0.16466097788958206,0.1928456447821532,0.03934447376823172,0.025031308716087976,-0.03415284351597416,0.045883146774112295,0.07877718635545052,-0.137649440322337,0.1567316551879079,-0.018322340399311195,-0.1330877458563845,0.0721479105365822,0.03212462831016176,-0.10701720580709571,0.1501878522965276,-0.014255200087214445
SNP_00756,-0.04725690039782924,-0.05229807167441253,0.0893674939234368,1.0,-0.0545333148989051,-0.07524169819251793,-0.24261207440782526,-0.0984273545015491,0.005668286065709287,0.2665300196340371,-0.05093733681881886,-0.30753463803927344,0.10437262003368364,0.1293563098995885,0.1685626975569617,0.10101362131797802,-0.06603064308192418,0.04077224308753547,-0.013421911977484009,-0.060725021841842204
SNP_00048,-0.09129577530394285,0.006593661395050811,0.16466097788958206,-0.0545333148989051,1.0,0.18437454084867927,-0.005430506954970561,0.08291849892341731,0.2594908453384581,-1.1718413209814402e-17,-0.10148313505354216,0.12666009927622476,-0.006513110345469939,0.01236367976199339,-0.014357683075131612,-0.08409137894300762,0.12415173012025565,-0.21456837977387408,0.10134483201750996,0.10581148340137492
SNP_00232,-0.14761691567569368,-0.054432686844796706,0.1928456447821532,-0.07524169819251793,0.18437454084867927,1.0,0.06680622338766215,0.09842735450154916,0.037933914439746606,-0.020502309202618217,-0.03188760109795982,0.1435161644183276,-0.05918966763814968,-0.07477558842296894,-0.04552423218691667,0.15689349694068916,0.23828449459998713,0.05989996206687316,-0.031317794614129285,0.060725021841842246
SNP_00198,0.0692787722019461,0.06919091293405409,0.03934447376823172,-0.24261207440782526,-0.005430506954970561,0.06680622338766215,1.0,-0.12396719685609797,-0.020059904433384047,-0.042874646285627184,0.05369336026162372,0.12862393885688167,-0.06047172409169103,-0.14609892248589784,0.013722631612230678,-0.12584555642690834,0.13208032926772043,0.03789482081964059,0.018712029714128046,-0.09590763214758387
SNP_00539,-0.15037618750412995,0.008519977207387454,0.025031308716087976,-0.0984273545015491,0.08291849892341731,0.09842735450154916,-0.12396719685609797,1.0,0.13226375289368303,-0.2182178902359924,-0.048485444580311496,0.10910894511799622,-0.03847265573432123,-0.092949450877779,0.11786123533219858,-0.022875450543583867,0.19861800768944587,-0.10983000937611187,0.011904761904761937,-0.004519799979773834
SNP_00731,-0.08035140450606625,-0.003321342787420582,-0.03415284351597416,0.005668286065709287,0.2594908453384581,0.037933914439746606,-0.020059904433384047,0.13226375289368303,1.0,-0.06380091150886703,-0.03479517234580244,0.10633485251477835,0.07358293521707357,0.022080389436072795,0.04977466690598997,-0.2474616539839942,-0.0029779715242899984,-0.15298542454997666,0.18099250395977667,-0.009250256739483206
SNP_00229,0.023762422826087853,-0.052057920629535334,0.045883146774112295,0.2665300196340371,-1.1718413209814402e-17,-0.020502309202618217,-0.042874646285627184,-0.2182178902359924,-0.06380091150886703,1.0,0.02019892908116939,-0.23999999999999996,0.15426587495244104,0.07986523020975031,0.020004001200400138,0.020965696734438318,-0.08401680504168056,-0.07365429242103545,0.08728715609439691,0.1449862787336133
SNP_00729,0.18671046695629429,0.06624539755527525,0.07877718635545052,-0.05093733681881886,-0.10148313505354216,-0.03188760109795982,0.05369336026162372,-0.048485444580311496,-0.03479517234580244,0.02019892908116939,1.0,-0.0605967872435083,-0.02092175099814553,-0.14464956018820216,-0.04323435596975664,-0.1672764254831092,0.0876808901442728,-0.04810352314207077,0.09256312147150372,-0.08743866006193285
SNP_00632,0.11881211413043939,0.05205792062953537,-0.137649440322337,-0.30753463803927344,0.12666009927622476,0.1435161644183276,0.12862393885688167,0.10910894511799622,0.10633485251477835,-0.23999999999999996,-0.0605967872435083,1.0,-0.11018991068031482,-0.07986523020975032,-0.02000400120040015,0.06289709020331508,0.19603921176392142,-0.07365429242103545,-0.08728715609439698,0.06213697660011997
SNP_00554,0.03508628193331032,0.04474280947009712,0.1567316551879079,0.10437262003368364,-0.006513110345469939,-0.05918966763814968,-0.06047172409169103,-0.03847265573432123,0.07358293521707357,0.15426587495244104,-0.02092175099814553,-0.11018991068031482,1.0,-0.004106826538861691,-0.05334258635360837,-0.03927354025881164,0.04011715172048232,-0.15744962212005656,-0.03366357376753106,-0.05797014823280194
SNP_00069,0.06895308641960528,-0.06513601243999374,-0.018322340399311195,0.1293563098995885,0.01236367976199339,-0.07477558842296894,-0.14609892248589784,-0.092949450877779,0.022080389436072795,0.07986523020975031,-0.14464956018820216,-0.07986523020975032,-0.004106826538861691,1.0,-0.08893441162822505,0.17023373661404592,-0.108105901560058,0.224185448656533,-0.11037747291736257,0.14942891643682754
SNP_00246,-0.03470007803583586,-0.09476437031548401,-0.1330877458563845,0.1685626975569617,-0.014357683075131612,-0.04552423218691667,0.013722631612230678,0.11786123533219858,0.04977466690598997,0.020004001200400138,-0.04323435596975664,-0.02000400120040015,-0.05334258635360837,-0.08893441162822505,1.0,-0.035648814924649073,-0.24369747899159666,0.0633553638222157,-0.16151354471449442,0.12968509745262843
SNP_00385,-0.0024909787532361974,-0.3110577143151258,0.0721479105365822,0.10101362131797802,-0.08409137894300762,0.15689349694068916,-0.12584555642690834,-0.022875450543583867,-0.2474616539839942,0.020965696734438318,-0.1672764254831092,0.06289709020331508,-0.03927354025881164,0.17023373661404592,-0.035648814924649073,1.0,0.132110314132523,0.18787931623417026,0.06862635163075156,0.04559607525875533
SNP_00636,-0.10314954703803265,0.09476437031548397,0.03212462831016176,-0.06603064308192418,0.12415173012025565,0.23828449459998713,0.13208032926772043,0.19861800768944587,-0.0029779715242899984,-0.08401680504168056,0.0876808901442728,0.19603921176392142,0.04011715172048232,-0.108105901560058,-0.24369747899159666,0.132110314132523,1.0,0.01031366387803516,0.030556616567607057,0.08990947650869122
SNP_00723,0.009917825156968157,0.11375058283007257,-0.10701720580709571,0.04077224308753547,-0.21456837977387408,0.05989996206687316,0.03789482081964059,-0.10983000937611187,-0.15298542454997666,-0.07365429242103545,-0.04810352314207077,-0.07365429242103545,-0.15744962212005656,0.224185448656533,0.0633553638222157,0.18787931623417026,0.01031366387803516,1.0,-0.14465415869048892,0.11339934166223707
SNP_00730,-0.005185385776004483,-0.022719939219699874,0.1501878522965276,-0.013421911977484009,0.10134483201750996,-0.031317794614129285,0.018712029714128046,0.011904761904761937,0.18099250395977667,0.08728715609439691,0.09256312147150372,-0.08728715609439698,-0.03366357376753106,-0.11037747291736257,-0.16151354471449442,0.06862635163075156,0.030556616567607057,-0.14465415869048892,1.0,-0.0858761996157023
SNP_00106,-0.22197094170305254,-0.12615415004432537,-0.014255200087214445,-0.060725021841842204,0.10581148340137492,0.060725021841842246,-0.09590763214758387,-0.004519799979773834,-0.009250256739483206,0.1449862787336133,-0.08743866006193285,0.06213697660011997,-0.05797014823280194,0.14942891643682754,0.12968509745262843,0.04559607525875533,0.08990947650869122,0.11339934166223707,-0.0858761996157023,1.0
