snp_id,beta,se,z_score,p_value,odds_ratio,p_bonferroni,p_fdr,significant_bonferroni,significant_fdr
SNP_00000,0.5502380621060692,0.8262334748550496,0.6659595366825343,0.5054369640887264,1.7336656888498923,1.0,1.0,False,False
SNP_00003,0.47255190806847086,0.6304496919709013,0.7495473692614346,0.4535273591378688,1.6040824455119083,1.0,1.0,False,False
SNP_00004,0.33085225057144735,0.7322985220671617,0.45179969725666563,0.6514132878350158,1.3921540871413256,1.0,1.0,False,False
SNP_00005,-0.46065509381354475,0.6552680797920576,-0.7030024932081672,0.4820541957218355,0.630870230923615,1.0,1.0,False,False
SNP_00006,-0.6257747255854755,0.6539666241346583,-0.9568909214801491,0.3386223139508574,0.5348469083858077,1.0,1.0,False,False
SNP_00009,0.06785908645045256,0.8428551004026505,0.08051097563274491,0.9358308672810631,1.0702144901302681,1.0,1.0,False,False
SNP_00010,1.1847404256866936,0.7754856586569254,1.5277399555506446,0.1265771155754605,3.2698379453582125,1.0,1.0,False,False
SNP_00012,0.028765955168869296,0.7204005058959778,0.03993050384257081,0.9681485319401617,1.0291836911619423,1.0,1.0,False,False
SNP_00013,0.23372797644728685,0.6248489341348058,0.37405517346511474,0.7083632681670701,1.2633007978922348,1.0,1.0,False,False
SNP_00014,0.5596986236556897,0.633279716558658,0.8838094905315781,0.3767990623349686,1.75014496851467,1.0,1.0,False,False
SNP_00016,0.6988721984381612,0.7212922857132573,0.9689167793428903,0.3325867128661828,2.011482874223165,1.0,1.0,False,False
SNP_00017,0.146905218250812,0.6634524185862544,0.2214254016344551,0.8247612156119329,1.1582441774179788,1.0,1.0,False,False
SNP_00018,-1.1100012549175657,1.0946064780499491,-1.0140642113639255,0.3105521137657099,0.32955854750611935,1.0,1.0,False,False
SNP_00021,0.6551658576696188,0.8311691118323713,0.7882461563390621,0.43055273565823937,1.9254618435085906,1.0,1.0,False,False
SNP_00022,-0.30825829692024725,0.6977445347516655,-0.4417924921905115,0.6586393719459793,0.7347255161594564,1.0,1.0,False,False
SNP_00023,-0.496074120963861,0.62203157405118,-0.7975063351415094,0.42515702504194075,0.6089165059218573,1.0,1.0,False,False
SNP_00024,0.15549239389204716,0.7225831035368533,0.21518963442537337,0.8296194721595354,1.1682330503267642,1.0,1.0,False,False
SNP_00025,23.22688639016583,72503.53258224786,0.0003203552373647077,0.9997443935065065,12226681271.419737,1.0,1.0,False,False
SNP_00026,1.5070641897598702,1.0957204537900438,1.3754093797802245,0.1690045626460126,4.513460660522583,1.0,1.0,False,False
SNP_00027,1.256889175268358,0.9537460599184288,1.3178446843343774,0.18755564608529385,3.514471559496649,1.0,1.0,False,False
SNP_00028,-0.26476590169558667,0.6264347924299308,-0.4226551668188222,0.6725468704438468,0.7673855726117378,1.0,1.0,False,False
SNP_00030,-0.68274739814506,0.6663354324752654,-1.0246301860443296,0.3055377157586583,0.5052270240530031,1.0,1.0,False,False
SNP_00032,-0.36743802599001657,0.6546206653938605,-0.5612991544789424,0.5745936178874023,0.6925062428675987,1.0,1.0,False,False
SNP_00034,0.4381492919127634,0.6566621399242153,0.6672370238420168,0.5046207454597955,1.5498362681698798,1.0,1.0,False,False
SNP_00035,-22.411382843289715,53525.14767632091,-0.0004187075387221086,0.9996659197291234,1.8486730041384363e-10,1.0,1.0,False,False
SNP_00039,-0.5298257498356783,0.6400243817624316,-0.8278211970248697,0.40777176837089557,0.5887075431275028,1.0,1.0,False,False
SNP_00041,0.17269337384175687,0.6395650609704359,0.270016898014602,0.7871472535630428,1.1885016235202113,1.0,1.0,False,False
SNP_00043,0.25184387256550955,1.1055218766294121,0.2278054174136723,0.8197975149368526,1.286395180026386,1.0,1.0,False,False
SNP_00044,0.28827118725052386,1.1192980881562993,0.2575463947458021,0.7967570049967148,1.3341190511479293,1.0,1.0,False,False
SNP_00045,-1.4551698453424442,0.9972491906204798,-1.4591837817757969,0.14451453138822237,0.2333607253027289,1.0,1.0,False,False
SNP_00047,-0.3030895962573725,0.7284644643854474,-0.41606641239949455,0.6773614067594576,0.7385329236202087,1.0,1.0,False,False
SNP_00048,1.9328651162172883,1.0716654060176576,1.8036087619921184,0.07129266152018704,6.909277793748295,1.0,1.0,False,False
